"id","name","category","subcategory","domains","modality","disease","url","cost","licence","language","maintainer","description","best_for","notes","verified"
"ema-hfs-tb-qualification","EMA Qualification opinion: in vitro hollow fibre system model of tuberculosis","guidance","EMA","pkpd|regulatory|pharmacology","small-molecule","infectious-disease","https://www.ema.europa.eu/en/documents/regulatory-procedural-guideline/qualification-opinion-vitro-hollow-fibre-system-model-tuberculosis-hfs-tb_en.pdf","free","n/a","n/a","EMA, CHMP","CHMP opinion endorsing the hollow fibre system as a complementary tool informing anti-tuberculosis dose and regimen selection across phases I to III, covering time-above-MIC and AUC/MIC targets and Monte Carlo dose simulation.","Reading exactly what regulators accepted an in vitro PK/PD system for, and the evidentiary standard applied","Adopted January 2015. Qualifies a method rather than a distributable model, but describes the metabolic states and simulation workflow in enough detail to reimplement.","2026-08-27"
"fda-food-effect-2026","FDA Assessing the Effects of Food on Drugs in INDs and NDAs","guidance","FDA","regulatory|pharmacology","small-molecule","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/assessing-effects-food-drugs-inds-and-ndas-clinical-pharmacology-considerations","free","public domain","n/a","FDA","When and how to run food-effect studies for oral products, meal composition and design, and how the resulting exposure changes drive administration instructions in labelling.","P-06 absorption: the regulatory counterpart to the BDDCS food-effect literature","Final, Level 2, May 2026, CDER. Supersedes portions of the earlier 2002 food-effect document.","2026-08-26"
"fda-bispecific-development","FDA Bispecific Antibody Development Programs","guidance","FDA","regulatory|pkpd","bispecific","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/bispecific-antibody-development-programs-guidance-industry","free","public domain","n/a","FDA","Addresses regulatory, quality, nonclinical and clinical considerations for bispecific antibodies, including whether the parent monospecific components must be characterised separately and how dose selection is justified.","Framing dose-finding and comparator strategy for bispecific and multispecific constructs","Final Level 1, May 2021, CBER and CDER. Principles may inform other multispecific protein products.","2026-08-27"
"fda-therapeutic-cancer-vaccines","FDA Clinical Considerations for Therapeutic Cancer Vaccines","guidance","FDA","regulatory|stats-ml","vaccine","oncology","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-considerations-therapeutic-cancer-vaccines","free","public domain","n/a","FDA","Covers phase 1-2 and phase 3 design for therapeutic cancer vaccines, including delayed effect on endpoints, dose and schedule selection, and immune-response measurement.","Endpoint and schedule selection where clinical benefit is delayed relative to immune activation","Final, October 2011, CBER.","2026-08-27"
"fda-adc-clinpharm","FDA Clinical Pharmacology Considerations for Antibody-Drug Conjugates","guidance","FDA","regulatory|pkpd|poppk","adc","oncology","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-pharmacology-considerations-antibody-drug-conjugates-guidance-industry","free","public domain","n/a","FDA","Specifies which ADC analytes to measure - conjugate, total antibody and unconjugated payload - and the expectations for dosing strategy, exposure-response, QTc, immunogenicity and drug-interaction assessment.","Designing multi-analyte PK sampling and exposure-response analyses for cytotoxic-payload ADCs","Final Level 1, March 2024, CDER and CBER. States the principles may not apply to non-cytotoxic-payload ADCs.","2026-08-27"
"fda-mass-balance-2024","FDA Clinical Pharmacology Considerations for Human Radiolabeled Mass Balance Studies","guidance","FDA","regulatory|pharmacology","small-molecule","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-pharmacology-considerations-human-radiolabeled-mass-balance-studies","free","public domain","n/a","FDA","Whether and when to conduct a human ADME mass balance study, how to design it, and how to present recovery, metabolite profiling and routes-of-elimination results.","P-09 and P-10: how anyone knows a drug's actual elimination route","Final, September 2024, CDER.","2026-08-26"
"fda-oligonucleotide-clinpharm","FDA Clinical Pharmacology Considerations for Oligonucleotide Therapeutics","guidance","FDA","regulatory|pkpd|poppk","oligonucleotide","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-pharmacology-considerations-development-oligonucleotide-therapeutics","free","public domain","n/a","FDA","Specifies four assessments for antisense and siRNA products: QTc prolongation, immunogenicity risk, the effect of hepatic and renal impairment on exposure, and drug-interaction potential.","Planning the clinical pharmacology package and organ-impairment covariate analysis for ASO and siRNA programmes","Final, June 2024, CDER.","2026-08-27"
"fda-peptide-clinpharm","FDA Clinical Pharmacology Considerations for Peptide Drug Products","guidance","FDA","regulatory|pkpd","peptide","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-pharmacology-considerations-peptide-drug-products","free","public domain","n/a","FDA","Addresses hepatic impairment, drug interaction, QTc and immunogenicity assessment for peptide products submitted under the NDA pathway, where neither small-molecule nor therapeutic-protein defaults apply.","Deciding which clinical pharmacology studies a peptide NDA requires","Draft Level 2, December 2023, CDER. The gap it fills - peptides sit between two regulatory frameworks - is the reason it exists.","2026-08-27"
"fda-biosimilar-clinpharm","FDA Clinical Pharmacology Data to Support a Demonstration of Biosimilarity","guidance","FDA","regulatory|pkpd|stats-ml","protein-mab","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/clinical-pharmacology-data-support-demonstration-biosimilarity-reference-product","free","public domain","n/a","FDA","Defines the exposure and response assessment supporting a 351(k) application: study population and design, PK and PD endpoint selection, sensitivity of PD markers, and similarity acceptance criteria.","Designing and analysing comparative PK/PD similarity studies","Final, December 2016, CDER and CBER.","2026-08-27"
"fda-cgt-early-phase-trials","FDA Considerations for the Design of Early-Phase Clinical Trials of Cellular and Gene Therapy Products","guidance","FDA","regulatory|pkpd|stats-ml","cell-therapy|gene-therapy","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/considerations-design-early-phase-clinical-trials-cellular-and-gene-therapy-products","free","public domain","n/a","FDA","Addresses starting dose justification, escalation scheme, staggering, subject selection and feasibility endpoints for first-in-human cellular and gene therapy trials.","Justifying a starting dose where conventional PK exposure metrics do not apply","Final, June 2015, CBER.","2026-08-27"
"fda-car-t-development","FDA Considerations for the Development of CAR T Cell Products","guidance","FDA","regulatory|pkpd","cell-therapy","oncology","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/considerations-development-chimeric-antigen-receptor-car-t-cell-products","free","public domain","n/a","FDA","Covers CMC, pharmacology and clinical study design for autologous and allogeneic CAR T cells, including analytical comparability after a manufacturing change and definition of dose by cell number.","Framing cellular kinetics, dose definition and comparability for engineered cell products","Final, January 2024, CBER. Also applies to CAR NK and TCR-modified T cells.","2026-08-27"
"fda-interchangeability","FDA Considerations in Demonstrating Interchangeability With a Reference Product","guidance","FDA","regulatory|pkpd|stats-ml","protein-mab","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/considerations-demonstrating-interchangeability-reference-product-guidance-industry","free","public domain","n/a","FDA","Sets expectations for switching-study design and endpoints, including PK and immunogenicity endpoints across alternating exposure periods, to support an interchangeability determination.","Designing and powering switching studies with PK and ADA endpoints","Final Level 1, May 2019. A June 2024 draft update revises its switching-study recommendations.","2026-08-27"
"fda-exposure-response-2003","FDA Exposure-Response Relationships","guidance","FDA","regulatory|pkpd","any","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/exposure-response-relationships-study-design-data-analysis-and-regulatory-applications","free","public domain","n/a","FDA","How to design studies and analyse data to characterise exposure-response for efficacy and safety, and how E-R evidence can support dose selection and labelling.","S1 PK/PD and exposure-response; foundational reading for dose justification","Final, May 2003, CDER and CBER. Still the current FDA E-R guidance.","2026-08-26"
"fda-global-vaccines","FDA General Principles for the Development of Vaccines to Protect Against Global Infectious Diseases","guidance","FDA","regulatory","vaccine","infectious-disease","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/general-principles-development-vaccines-protect-against-global-infectious-diseases","free","public domain","n/a","FDA","Sets the regulatory and statutory framework for licensing vaccines against diseases endemic outside the United States, including evidence generation when trials are conducted in endemic regions.","Planning licensure evidence for vaccines against non-US-endemic pathogens","Final, December 2011, CBER.","2026-08-27"
"fda-genome-editing","FDA Human Gene Therapy Products Incorporating Human Genome Editing","guidance","FDA","regulatory|general","gene-therapy","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/human-gene-therapy-products-incorporating-human-genome-editing","free","public domain","n/a","FDA","States the IND content expected for somatic genome-editing products: editing component design, on- and off-target activity characterisation, manufacturing and testing, nonclinical safety and trial design.","Structuring off-target activity evidence and first-in-human design for genome-editing products","Final, January 2024, CBER.","2026-08-27"
"fda-immunogenicity-assessment","FDA Immunogenicity Assessment for Therapeutic Protein Products","guidance","FDA","regulatory|pkpd","protein-mab","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/immunogenicity-assessment-therapeutic-protein-products","free","public domain","n/a","FDA","Sets a risk-based approach to evaluating and mitigating immune responses to therapeutic proteins, including the product, patient and treatment factors that alter clearance, exposure and response.","Building anti-drug antibody status into PK and exposure-response models for mAbs and Fc-fusion proteins","Final, August 2014, CDER and CBER.","2026-08-27"
"fda-ada-assays","FDA Immunogenicity Testing of Therapeutic Protein Products: Developing and Validating Assays for Anti-Drug Antibody Detection","guidance","FDA","regulatory|stats-ml","protein-mab","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/immunogenicity-testing-therapeutic-protein-products-developing-and-validating-assays-anti-drug","free","public domain","n/a","FDA","Specifies the tiered screening, confirmatory, titre and neutralising-antibody assay scheme and its validation parameters, including cut-point determination and drug tolerance.","Understanding what an ADA titre means, and its drug-tolerance limits, before using ADA as a model covariate","Final, February 2019, CDER and CBER. Drug tolerance is the parameter most often ignored when ADA is treated as a binary covariate.","2026-08-27"
"fda-in-vitro-ddi-2020","FDA In Vitro Drug Interaction Studies - CYP Enzyme- and Transporter-Mediated","guidance","FDA","regulatory|pharmacology|pbpk","small-molecule","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/vitro-drug-interaction-studies-cytochrome-p450-enzyme-and-transporter-mediated-drug-interactions","free","public domain","n/a","FDA","Which in vitro CYP and transporter experiments to run, the cut-off criteria and basic static models that decide whether a clinical DDI study or a PBPK simulation is needed.","P-09 and P-03: the in vitro to clinical decision tree","Final, January 2020, CDER.","2026-08-26"
"fda-individualized-aso","FDA IND Submissions for Individualized Antisense Oligonucleotide Products: Clinical Recommendations","guidance","FDA","regulatory|pkpd","oligonucleotide","rare-disease","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/ind-submissions-individualized-antisense-oligonucleotide-drug-products-severely-debilitating-or-life","free","public domain","n/a","FDA","Addresses starting dose, escalation and monitoring for n-of-1 antisense products targeting variants unique to one or two participants, and when a broader development programme should be pursued instead.","Dose selection where the trial population is a single patient - the limiting case of individualised dosing","Draft Level 1, December 2021, CDER. Draft status as stated on the page.","2026-08-27"
"fda-gene-therapy-ltfu","FDA Long Term Follow-up After Administration of Human Gene Therapy Products","guidance","FDA","regulatory|general","gene-therapy","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/long-term-follow-after-administration-human-gene-therapy-products","free","public domain","n/a","FDA","Defines the product-attribute risk assessment - persistence, integration, latency, transgene expression - that determines whether long-term follow-up observations are needed and for how long.","Setting the duration and endpoints of delayed-adverse-event follow-up for vector-based therapies","Final, January 2020, CBER.","2026-08-27"
"fda-midd-paired-meeting","FDA Model-Informed Drug Development Paired Meeting Program","guidance","FDA","regulatory|poppk|pbpk|qsp","any","any","https://www.fda.gov/drugs/development-resources/model-informed-drug-development-paired-meeting-program","free","public domain","n/a","FDA","The PDUFA programme letting sponsors bring a specific MIDD question to FDA in paired meetings; sets eligibility, submission content and the meeting sequence.","S0-00: how modelling questions actually reach FDA","Programme page, not a guidance. Current as of July 2026, covering fiscal years 2023-2027. The page recommends sponsors use ICH M15 when preparing meeting requests.","2026-08-26"
"fda-radiopharm-late-toxicity","FDA Nonclinical Evaluation of Late Radiation Toxicity of Therapeutic Radiopharmaceuticals","guidance","FDA","regulatory|pharmacology","radioligand","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/nonclinical-evaluation-late-radiation-toxicity-therapeutic-radiopharmaceuticals","free","public domain","n/a","FDA","Describes nonclinical study design for irreversible late radiation effects in normal organs from agents delivering ionizing radiation, complementing general nonclinical safety expectations.","Relating absorbed dose in normal organs to late toxicity risk before clinical radioligand trials","Final, November 2011, CDER.","2026-08-27"
"fda-radiopharm-dose-optimization","FDA Oncology Therapeutic Radiopharmaceuticals: Dosage Optimization During Clinical Development","guidance","FDA","regulatory|pkpd","radioligand","oncology","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/oncology-therapeutic-radiopharmaceuticals-dosage-optimization-during-clinical-development","free","public domain","n/a","FDA","Addresses selection of administered activity, number of cycles and interval for therapeutic radiopharmaceuticals in oncology. Explicitly excludes dosimetry software and personalised-dosimetry dosing from its scope.","Structuring dose-optimisation trials for radioligand therapy under Project Optimus principles","Draft, August 2025, Oncology Center of Excellence. That dosimetry is excluded from scope is itself the notable point.","2026-08-27"
"fda-oncology-dose-optimization-2024","FDA Optimizing the Dosage of Drugs for the Treatment of Oncologic Diseases","guidance","FDA","regulatory|pkpd|poppk","any","oncology","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/optimizing-dosage-human-prescription-drugs-and-biological-products-treatment-oncologic-diseases","free","public domain","n/a","FDA","How to identify an optimised oncology dosage before a marketing application, including randomised comparison of multiple dosages and the PK/PD and exposure-response evidence expected.","The operative guidance implementing Project Optimus; dose-selection work in oncology","Final, August 2024, Oncology Center of Excellence with CDER and CBER.","2026-08-26"
"fda-hepatic-impairment-2003","FDA Pharmacokinetics in Patients with Impaired Hepatic Function","guidance","FDA","regulatory|pkpd","any","hepatology","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/pharmacokinetics-patients-impaired-hepatic-function-study-design-data-analysis-and-impact-dosing-and","free","public domain","n/a","FDA","When a hepatic impairment study is warranted, Child-Pugh-based design and analysis, and how the PK findings feed dosing and labelling.","P-11 and S2: hepatic covariate effects and dose adjustment","Final, May 2003, CDER and CBER.","2026-08-26"
"fda-renal-impairment-2024","FDA Pharmacokinetics in Patients with Impaired Renal Function","guidance","FDA","regulatory|pkpd|poppk","any","nephrology","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/pharmacokinetics-patients-impaired-renal-function-study-design-data-analysis-and-impact-dosing","free","public domain","n/a","FDA","When to study renal impairment, reduced versus full study designs, which renal function measure to use, and how results translate into dosing recommendations in labelling.","P-10 and S2: covariate analysis and dose adjustment","Final, Level 1, March 2024 - this is now final and dated 2024, not the 2020 draft.","2026-08-26"
"fda-pbpk-2018","FDA Physiologically Based Pharmacokinetic Analyses - Format and Content","guidance","FDA","regulatory|pbpk","any","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/physiologically-based-pharmacokinetic-analyses-format-and-content-guidance-industry","free","public domain","n/a","FDA","What a PBPK submission must contain: a prescribed six-section report structure covering model assumptions, parameters, verification and sensitivity analyses.","S3 PBPK: how to write up a PBPK analysis for a regulator","Final, September 2018, CDER.","2026-08-26"
"fda-poppk-2022","FDA Population Pharmacokinetics","guidance","FDA","regulatory|poppk","any","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/population-pharmacokinetics","free","public domain","n/a","FDA","When a population PK analysis is expected, how to build and evaluate the model, and what the analysis plan, report and data files must contain to support labelling and dose individualisation.","S2 population PK: model development, evaluation and the submission-ready report","Final, Level 1 guidance, February 2022. CDER and CBER. Finalises the 2019 draft.","2026-08-26"
"fda-cgt-potency","FDA Potency Assurance for Cellular and Gene Therapy Products","guidance","FDA","regulatory|stats-ml","cell-therapy|gene-therapy","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/potency-assurance-cellular-and-gene-therapy-products","free","public domain","n/a","FDA","Describes a risk-based potency assurance strategy spanning process design, in-process controls and release assays so that each lot retains the capacity to produce the intended therapeutic effect.","Linking potency assay design and acceptance criteria to dose definition for cell and gene therapies","Draft, December 2023, CBER. Not for implementation.","2026-08-27"
"fda-project-optimus","FDA Project Optimus","guidance","FDA","regulatory|pkpd","any","oncology","https://www.fda.gov/about-fda/oncology-center-excellence/project-optimus","free","public domain","n/a","FDA","Oncology Center of Excellence initiative to replace MTD-driven oncology dosing with dose optimisation balancing efficacy, safety and tolerability before registration.","The policy context behind randomised dose-ranging in oncology","An initiative page, not a guidance document. Page content current as of December 2024.","2026-08-26"
"fda-biosimilar-comparative-efficacy","FDA Scientific Considerations in Demonstrating Biosimilarity: Updated Recommendations on Comparative Efficacy Studies","guidance","FDA","regulatory|pkpd|stats-ml","protein-mab","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/scientific-considerations-demonstrating-biosimilarity-reference-product-updated-recommendations","free","public domain","n/a","FDA","Sets when a comparative clinical study with efficacy endpoints can be omitted, placing the weight of evidence on analytical characterisation and comparative human PK, PD and immunogenicity data.","The clearest current statement of PK/PD evidence substituting for a clinical efficacy trial","Draft, October 2025, CDER. The page does not state that it supersedes the April 2015 final guidance.","2026-08-27"
"fda-biomarker-qualification","FDA Status of Biomarker Qualification Submissions","guidance","FDA","regulatory","any","any","https://www.fda.gov/drugs/biomarker-qualification-program/status-biomarker-qualification-submissions","free","public domain","n/a","FDA CDER Biomarker Qualification Program","Gateway for tracking biomarker qualification submissions through letters of intent, qualification plans and full packages, and for locating qualified biomarkers with their disease context of use.","Checking whether a disease-specific biomarker has actually been qualified, and at what stage others sit","Free but indirect: the page does not tabulate qualified biomarkers itself, it directs you to filter the DDT qualification project search database.","2026-08-27"
"ich-e11r1-pediatric","ICH E11(R1) Clinical Investigation of Medicinal Products in the Pediatric Population","guidance","ICH","regulatory|pkpd","any","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/e11r1-addendum-clinical-investigation-medicinal-products-pediatric-population","free","n/a","n/a","ICH, FDA-adopted","Current regulatory perspective on paediatric trial design, age classification, extrapolation concepts and paediatric formulation, updating ICH E11 for modern practice.","P-12: the framing document for paediatric PK study design","Final, April 2018. Complements rather than replaces the original ICH E11 of 2000.","2026-08-26"
"ich-e11a-pediatric-extrapolation","ICH E11A Pediatric Extrapolation","guidance","ICH","regulatory|poppk|pkpd","any","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/e11a-pediatric-extrapolation","free","n/a","n/a","ICH, FDA-adopted","A systematic approach to paediatric extrapolation: building the extrapolation concept, quantifying similarity in exposure and response, and designing the confirmatory evidence package.","P-12 and S3: modelling-driven paediatric dose selection","Final, December 2024. Replaces the August 2022 draft.","2026-08-26"
"ich-e14-s7b-qt","ICH E14 and S7B QT/QTc Prolongation Questions and Answers","guidance","ICH","regulatory|pkpd","any","cardiometabolic","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/e14-and-s7b-clinical-and-nonclinical-evaluation-qtqtc-interval-prolongation-and-proarrhythmic","free","n/a","n/a","ICH, FDA-adopted","How integrated nonclinical and clinical evidence, including concentration-QTc modelling, can substitute for a dedicated thorough QT study and what the analysis must demonstrate.","P-16 safety: concentration-QTc modelling","Final, August 2022. Revises Q12/Q13 of ICH E14 and adds questions to ICH S7B.","2026-08-26"
"ich-e4-dose-response","ICH E4 Dose-Response Information to Support Drug Registration","guidance","ICH","regulatory|pkpd","any","any","https://database.ich.org/sites/default/files/E4_Guideline.pdf","free","n/a","n/a","ICH","The foundational requirement that registration dossiers characterise dose-response, not just show one dose works; covers parallel, titration and crossover dose-response designs.","P-14 dose-response: the origin of the regulatory demand for dose-response evidence","ICH Step 4, dated 10 March 1994. ICH publishes no per-guideline landing page for E4, so the database PDF is the canonical link.","2026-08-26"
"ich-m10-bioanalytical","ICH M10 Bioanalytical Method Validation and Study Sample Analysis","guidance","ICH","regulatory|stats-ml","any","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m10-bioanalytical-method-validation-and-study-sample-analysis","free","n/a","n/a","ICH, FDA-adopted","Harmonised validation requirements for chromatographic and ligand-binding assays, plus study sample analysis and reporting expectations that determine whether concentration data are usable.","S0-03: where the concentrations feeding a popPK model come from, and what LLOQ actually means","Final, November 2022. Replaces the M10 draft of June 2019.","2026-08-26"
"ich-m12-ddi","ICH M12 Drug Interaction Studies","guidance","ICH","regulatory|pbpk|pharmacology","small-molecule","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m12-drug-interaction-studies","free","n/a","n/a","ICH, FDA-adopted","The harmonised ICH framework for enzyme- and transporter-mediated DDI evaluation: in vitro triggers, clinical study design, model-based approaches and how results reach the label.","The current international DDI reference, replacing region-specific clinical DDI guidance","Final, Level 1, August 2024. Replaces the 2022 draft. In practice this now stands in for FDA's withdrawn 2020 Clinical Drug Interaction Studies guidance, whose page no longer resolves.","2026-08-26"
"ich-m15-midd","ICH M15 General Principles for Model-Informed Drug Development","guidance","ICH","regulatory|poppk|pbpk|qsp","any","any","https://www.fda.gov/regulatory-information/search-fda-guidance-documents/m15-general-principles-model-informed-drug-development","free","n/a","n/a","ICH, FDA-adopted","The first harmonised MIDD framework: defining context of use, model credibility assessment proportional to regulatory impact, and the documentation expected for any model in a submission.","The umbrella document above popPK, PBPK, exposure-response and QSP guidance - read this first","Final, Level 1, June 2026. The newest document in the set; confirm currency before citing.","2026-08-26"
"ich-s12-gene-therapy-biodistribution","ICH S12 Nonclinical Biodistribution Considerations for Gene Therapy Products","guidance","ICH","regulatory|pharmacology|pkpd","gene-therapy","any","https://database.ich.org/sites/default/files/ICH_S12_Step4_Guideline_2023_0314.pdf","free","n/a","n/a","ICH","Harmonises nonclinical biodistribution study design for gene therapy products: analyte and matrix selection, sampling time points, assay validation, and interpretation of vector persistence and expression.","Designing and interpreting the vector biodistribution studies that inform clinical dose and follow-up","Step 4 final, 14 March 2023. This is the closest thing gene therapy has to a pharmacokinetics guideline.","2026-08-27"
"pmda-biosimilars","PMDA Biosimilars guidelines and notifications","guidance","PMDA","regulatory|pkpd","protein-mab","any","https://www.pmda.go.jp/english/review-services/reviews/0005.html","free","n/a","n/a","PMDA","Collection hosting the Japanese Guideline for Ensuring Quality, Safety and Efficacy of Biosimilars and its Q and A documents, defining comparability expectations including comparative PK and immunogenicity data.","Checking Japanese comparability and PK-similarity requirements for a biosimilar filing","Landing page; documents are not labelled draft or final. Guideline dated February 2020, with Q and A updates through 2026.","2026-08-27"
